id,start_timestamp,duration,start_frame_index,end_frame_index,norm_pos_x,norm_pos_y,dispersion,confidence,method,gaze_point_3d_x,gaze_point_3d_y,gaze_point_3d_z,base_data
0,499886.4954,319.2,195,205,0.596394746,0.63976444,2.552603762,0.683553151,gaze,,,,499886.495356 499886.503756 499886.512156 499886.520556 499886.528956 499886.537356 499886.545756 499886.554156 499886.562556 499886.570956 499886.579356 499886.587756 499886.596156 499886.604556 499886.612956 499886.621356 499886.629756 499886.638156 499886.646556 499886.654956 499886.663356 499886.671756 499886.680156 499886.688556 499886.696956 499886.705356 499886.713756 499886.722156 499886.730556 499886.738956 499886.747356 499886.755756 499886.764156 499886.772556 499886.780956 499886.789356 499886.797756 499886.806156 499886.814556
1,499888.587,352.8,258,268,0.497843412,0.634367025,2.441021153,0.556292208,gaze,,,,499888.586956 499888.595356 499888.603756 499888.612156 499888.620556 499888.628956 499888.637356 499888.645756 499888.654156 499888.662556 499888.670956 499888.679356 499888.687756 499888.696156 499888.704556 499888.712956 499888.721356 499888.729756 499888.738156 499888.746556 499888.754956 499888.763356 499888.771756 499888.780156 499888.788556 499888.796956 499888.805356 499888.813756 499888.822156 499888.830556 499888.838956 499888.847356 499888.855756 499888.864156 499888.872556 499888.880956 499888.889356 499888.897756 499888.906156 499888.914556 499888.922956 499888.931356 499888.939756
2,499889.9982,386.4,300,311,0.497717975,0.488537985,1.689322408,0.866420932,gaze,,,,499889.998156 499890.006556 499890.014956 499890.023356 499890.031756 499890.040156 499890.048556 499890.056956 499890.065356 499890.073756 499890.082156 499890.090556 499890.098956 499890.107356 499890.115756 499890.124156 499890.132556 499890.140956 499890.149356 499890.157756 499890.166156 499890.174556 499890.182956 499890.191356 499890.199756 499890.208156 499890.216556 499890.224956 499890.233356 499890.241756 499890.250156 499890.258556 499890.266956 499890.275356 499890.283756 499890.292156 499890.300556 499890.308956 499890.317356 499890.325756 499890.334156 499890.342556 499890.350956 499890.359356 499890.367756 499890.376156 499890.384556
3,499894.0386,310.8,420,430,0.596250046,0.198494705,2.791745054,0.69744588,gaze,,,,499894.038556 499894.046956 499894.055356 499894.063756 499894.072156 499894.080556 499894.088956 499894.097356 499894.105756 499894.114156 499894.122556 499894.130956 499894.139356 499894.147756 499894.156156 499894.164556 499894.172956 499894.181356 499894.189756 499894.198156 499894.206556 499894.214956 499894.223356 499894.231756 499894.240156 499894.248556 499894.256956 499894.265356 499894.273756 499894.282156 499894.290556 499894.298956 499894.307356 499894.315756 499894.324156 499894.332556 499894.340956 499894.349356
4,499898.499,352.8,553,564,0.507524026,0.652830091,2.932167077,0.726557239,gaze,,,,499898.498956 499898.507356 499898.515756 499898.524156 499898.532556 499898.540956 499898.549356 499898.557756 499898.566156 499898.574556 499898.582956 499898.591356 499898.599756 499898.608156 499898.616556 499898.624956 499898.633356 499898.641756 499898.650156 499898.658556 499898.666956 499898.675356 499898.683756 499898.692156 499898.700556 499898.708956 499898.717356 499898.725756 499898.734156 499898.742556 499898.750956 499898.759356 499898.767756 499898.776156 499898.784556 499898.792956 499898.801356 499898.809756 499898.818156 499898.826556 499898.834956 499898.843356 499898.851756
5,499900.9686,478.8,627,641,0.511892695,0.527756527,2.16197329,0.865663582,gaze,,,,499900.968556 499900.993756 499901.002156 499901.010556 499901.018956 499901.027356 499901.035756 499901.044156 499901.052556 499901.060956 499901.069356 499901.077756 499901.086156 499901.094556 499901.102956 499901.111356 499901.119756 499901.128156 499901.136556 499901.144956 499901.153356 499901.161756 499901.170156 499901.178556 499901.186956 499901.195356 499901.203756 499901.212156 499901.220556 499901.228956 499901.237356 499901.245756 499901.254156 499901.262556 499901.270956 499901.279356 499901.287756 499901.296156 499901.304556 499901.312956 499901.321356 499901.329756 499901.338156 499901.346556 499901.354956 499901.363356 499901.371756 499901.380156 499901.388556 499901.396956 499901.405356 499901.413756 499901.422156 499901.430556 499901.438956 499901.447356
6,499902.1698,394.8,663,675,0.601142655,0.57898957,2.399806323,0.787282067,gaze,,,,499902.169756 499902.178156 499902.186556 499902.194956 499902.203356 499902.211756 499902.220156 499902.228556 499902.236956 499902.245356 499902.253756 499902.262156 499902.270556 499902.278956 499902.287356 499902.295756 499902.304156 499902.312556 499902.320956 499902.329356 499902.337756 499902.346156 499902.354556 499902.362956 499902.371356 499902.379756 499902.388156 499902.396556 499902.404956 499902.413356 499902.421756 499902.430156 499902.438556 499902.446956 499902.455356 499902.463756 499902.472156 499902.480556 499902.488956 499902.497356 499902.505756 499902.514156 499902.522556 499902.530956 499902.539356 499902.547756 499902.556156 499902.564556
7,499907.0502,999.6,808,837,0.58182371,0.686479004,2.791231635,0.930820845,gaze,,,,499907.050156 499907.058556 499907.066956 499907.075356 499907.083756 499907.092156 499907.100556 499907.108956 499907.117356 499907.125756 499907.134156 499907.142556 499907.150956 499907.159356 499907.167756 499907.176156 499907.184556 499907.192956 499907.201356 499907.209756 499907.218156 499907.226556 499907.234956 499907.243356 499907.251756 499907.260156 499907.268556 499907.276956 499907.285356 499907.293756 499907.302156 499907.310556 499907.318956 499907.327356 499907.335756 499907.344156 499907.352556 499907.360956 499907.369356 499907.377756 499907.386156 499907.394556 499907.402956 499907.411356 499907.419756 499907.428156 499907.436556 499907.444956 499907.453356 499907.461756 499907.470156 499907.478556 499907.486956 499907.495356 499907.503756 499907.512156 499907.520556 499907.528956 499907.537356 499907.545756 499907.554156 499907.562556 499907.570956 499907.579356 499907.587756 499907.596156 499907.604556 499907.612956 499907.621356 499907.629756 499907.638156 499907.646556 499907.654956 499907.663356 499907.671756 499907.680156 499907.688556 499907.696956 499907.705356 499907.713756 499907.722156 499907.730556 499907.738956 499907.747356 499907.755756 499907.764156 499907.772556 499907.780956 499907.789356 499907.797756 499907.806156 499907.814556 499907.822956 499907.831356 499907.839756 499907.848156 499907.856556 499907.864956 499907.873356 499907.881756 499907.890156 499907.898556 499907.906956 499907.915356 499907.923756 499907.932156 499907.940556 499907.948956 499907.957356 499907.965756 499907.974156 499907.982556 499907.990956 499907.999356 499908.007756 499908.016156 499908.024556 499908.032956 499908.041356 499908.049756
8,499910.2506,302.4,903,912,0.713242058,0.486848484,2.327389337,0.662006087,gaze,,,,499910.250556 499910.267356 499910.284156 499910.292556 499910.300956 499910.309356 499910.317756 499910.326156 499910.334556 499910.342956 499910.351356 499910.359756 499910.368156 499910.376556 499910.384956 499910.393356 499910.401756 499910.410156 499910.418556 499910.426956 499910.435356 499910.443756 499910.452156 499910.460556 499910.468956 499910.477356 499910.485756 499910.494156 499910.502556 499910.510956 499910.519356 499910.527756 499910.536156 499910.544556 499910.552956
9,499916.433,302.4,1088,1097,0.473487316,0.627370689,2.992164123,0.556218608,gaze,,,,499916.432956 499916.441356 499916.449756 499916.458156 499916.466556 499916.474956 499916.483356 499916.491756 499916.500156 499916.508556 499916.516956 499916.525356 499916.533756 499916.542156 499916.550556 499916.558956 499916.567356 499916.575756 499916.584156 499916.592556 499916.600956 499916.609356 499916.617756 499916.626156 499916.634556 499916.642956 499916.651356 499916.659756 499916.668156 499916.676556 499916.684956 499916.693356 499916.701756 499916.710156 499916.718556 499916.726956 499916.735356
