id,start_timestamp,duration,start_frame_index,end_frame_index,norm_pos_x,norm_pos_y,dispersion,confidence,method,gaze_point_3d_x,gaze_point_3d_y,gaze_point_3d_z,base_data
0,78663.7041,100.8,3,5,0.588024742,0.53240402,2.877534435,0.779532164,gaze,,,,78663.704101 78663.712501 78663.720901 78663.729301 78663.737701 78663.746101 78663.754501 78663.762901 78663.771301 78663.779701 78663.788101 78663.796501 78663.804901
1,78669.8865,109.2,155,156,0.461043444,0.553908029,2.566332572,0.911147287,gaze,,,,78669.886501 78669.894901 78669.903301 78669.911701 78669.928501 78669.936901 78669.945301 78669.953701 78669.962101 78669.970501 78669.978901 78669.987301 78669.995701
2,78670.9449,226.8,178,183,0.545468159,0.517897675,2.606947923,0.806021574,gaze,,,,78670.944901 78670.953301 78670.961701 78670.970101 78670.978501 78670.986901 78670.995301 78671.003701 78671.012101 78671.020501 78671.028901 78671.037301 78671.045701 78671.054101 78671.062501 78671.070901 78671.079301 78671.087701 78671.096101 78671.104501 78671.112901 78671.121301 78671.129701 78671.138101 78671.146501 78671.154901 78671.163301 78671.171701
3,78672.9609,100.8,228,230,0.478687332,0.428162233,2.761372879,0.866528383,gaze,,,,78672.960901 78672.969301 78672.977701 78672.986101 78672.994501 78673.002901 78673.011301 78673.019701 78673.028101 78673.036501 78673.044901 78673.053301 78673.061701
4,78673.9689,117.6,252,255,0.533292385,0.50267733,2.124558242,0.79677636,gaze,,,,78673.968901 78673.977301 78673.985701 78673.994101 78674.002501 78674.010901 78674.019301 78674.027701 78674.036101 78674.044501 78674.052901 78674.061301 78674.069701 78674.078101 78674.086501
5,78676.0689,176.4,304,309,0.411030037,0.383296351,2.717064055,0.852290068,gaze,,,,78676.068901 78676.077301 78676.085701 78676.094101 78676.102501 78676.110901 78676.119301 78676.136101 78676.144501 78676.152901 78676.161301 78676.169701 78676.178101 78676.186501 78676.194901 78676.203301 78676.211701 78676.220101 78676.228501 78676.236901 78676.245301
6,78677.0769,109.2,328,331,0.451354542,0.385019963,1.972260172,0.892296608,gaze,,,,78677.076901 78677.085301 78677.093701 78677.102101 78677.110501 78677.118901 78677.127301 78677.135701 78677.144101 78677.152501 78677.160901 78677.169301 78677.177701 78677.186101
7,78680.1009,369.6,401,410,0.526626886,0.60429945,2.583328203,0.826457632,gaze,,,,78680.100901 78680.109301 78680.117701 78680.126101 78680.134501 78680.142901 78680.151301 78680.159701 78680.168101 78680.176501 78680.184901 78680.193301 78680.201701 78680.210101 78680.218501 78680.226901 78680.235301 78680.252101 78680.260501 78680.268901 78680.277301 78680.285701 78680.294101 78680.302501 78680.310901 78680.319301 78680.327701 78680.336101 78680.344501 78680.352901 78680.361301 78680.369701 78680.378101 78680.386501 78680.394901 78680.403301 78680.411701 78680.420101 78680.428501 78680.436901 78680.445301 78680.453701 78680.462101 78680.470501
