id,start_timestamp,duration,start_frame_index,end_frame_index,norm_pos_x,norm_pos_y,dispersion,confidence,method,gaze_point_3d_x,gaze_point_3d_y,gaze_point_3d_z,base_data
0,484232.469,344.4,0,3,0.650888184,0.625973153,2.894228806,0.772333855,gaze,,,,484232.468979 484232.477379 484232.485779 484232.494179 484232.502579 484232.510979 484232.519379 484232.527779 484232.536179 484232.544579 484232.552979 484232.561379 484232.569779 484232.578179 484232.586579 484232.594979 484232.603379 484232.611779 484232.620179 484232.628579 484232.636979 484232.645379 484232.653779 484232.662179 484232.670579 484232.678979 484232.687379 484232.695779 484232.704179 484232.712579 484232.720979 484232.729379 484232.737779 484232.746179 484232.754579 484232.762979 484232.771379 484232.779779 484232.788179 484232.804979 484232.813379
1,484237.2318,882,128,150,0.516656057,0.719627022,2.439291967,0.894582455,gaze,,,,484237.231779 484237.240179 484237.248579 484237.256979 484237.273779 484237.282179 484237.290579 484237.298979 484237.307379 484237.315779 484237.324179 484237.332579 484237.340979 484237.349379 484237.357779 484237.366179 484237.374579 484237.382979 484237.391379 484237.399779 484237.408179 484237.416579 484237.424979 484237.433379 484237.441779 484237.450179 484237.458579 484237.466979 484237.475379 484237.483779 484237.492179 484237.500579 484237.508979 484237.517379 484237.525779 484237.534179 484237.542579 484237.550979 484237.559379 484237.567779 484237.576179 484237.584579 484237.592979 484237.601379 484237.609779 484237.618179 484237.626579 484237.634979 484237.643379 484237.651779 484237.660179 484237.668579 484237.676979 484237.685379 484237.693779 484237.702179 484237.710579 484237.718979 484237.727379 484237.735779 484237.744179 484237.760979 484237.777779 484237.786179 484237.802979 484237.811379 484237.819779 484237.828179 484237.836579 484237.844979 484237.853379 484237.861779 484237.870179 484237.878579 484237.886979 484237.895379 484237.903779 484237.912179 484237.920579 484237.928979 484237.937379 484237.945779 484237.954179 484237.962579 484237.970979 484237.979379 484237.987779 484237.996179 484238.004579 484238.012979 484238.021379 484238.029779 484238.038179 484238.046579 484238.054979 484238.063379 484238.071779 484238.080179 484238.088579 484238.096979 484238.105379 484238.113779
2,484240.2222,420,210,221,0.562626842,0.689262752,2.069581451,0.879553403,gaze,,,,484240.222179 484240.230579 484240.247379 484240.255779 484240.264179 484240.272579 484240.280979 484240.289379 484240.297779 484240.306179 484240.314579 484240.322979 484240.331379 484240.339779 484240.348179 484240.356579 484240.364979 484240.373379 484240.381779 484240.390179 484240.398579 484240.406979 484240.415379 484240.423779 484240.432179 484240.440579 484240.448979 484240.457379 484240.465779 484240.474179 484240.482579 484240.490979 484240.499379 484240.507779 484240.516179 484240.524579 484240.532979 484240.541379 484240.549779 484240.558179 484240.566579 484240.574979 484240.583379 484240.591779 484240.600179 484240.608579 484240.616979 484240.625379 484240.633779 484240.642179
3,484241.4486,621.6,243,261,0.587678241,0.640006391,2.944610519,0.68263069,gaze,,,,484241.448579 484241.465379 484241.473779 484241.482179 484241.490579 484241.498979 484241.507379 484241.515779 484241.524179 484241.532579 484241.540979 484241.549379 484241.557779 484241.566179 484241.574579 484241.582979 484241.591379 484241.599779 484241.608179 484241.616579 484241.624979 484241.633379 484241.641779 484241.650179 484241.658579 484241.666979 484241.675379 484241.683779 484241.692179 484241.700579 484241.708979 484241.717379 484241.725779 484241.734179 484241.742579 484241.750979 484241.759379 484241.767779 484241.776179 484241.784579 484241.792979 484241.801379 484241.809779 484241.818179 484241.826579 484241.834979 484241.843379 484241.851779 484241.860179 484241.868579 484241.876979 484241.885379 484241.893779 484241.902179 484241.910579 484241.918979 484241.927379 484241.935779 484241.944179 484241.952579 484241.960979 484241.969379 484241.977779 484241.986179 484241.994579 484242.002979 484242.011379 484242.019779 484242.028179 484242.036579 484242.044979 484242.053379 484242.061779 484242.070179
4,484242.9606,327.6,288,296,0.661163325,0.452190998,2.58820372,0.625951947,gaze,,,,484242.960579 484242.968979 484242.994179 484243.002579 484243.010979 484243.019379 484243.027779 484243.036179 484243.044579 484243.052979 484243.061379 484243.069779 484243.078179 484243.086579 484243.094979 484243.103379 484243.111779 484243.120179 484243.128579 484243.136979 484243.145379 484243.153779 484243.162179 484243.178979 484243.187379 484243.195779 484243.204179 484243.212579 484243.220979 484243.229379 484243.237779 484243.246179 484243.254579 484243.262979 484243.271379 484243.279779 484243.288179
5,484244.0358,520.8,317,331,0.554940221,0.679934565,2.955117295,0.813870064,gaze,,,,484244.035779 484244.044179 484244.052579 484244.069379 484244.077779 484244.086179 484244.094579 484244.102979 484244.111379 484244.119779 484244.128179 484244.136579 484244.144979 484244.153379 484244.161779 484244.170179 484244.178579 484244.186979 484244.195379 484244.203779 484244.212179 484244.220579 484244.228979 484244.237379 484244.245779 484244.254179 484244.262579 484244.270979 484244.279379 484244.287779 484244.296179 484244.304579 484244.312979 484244.321379 484244.329779 484244.338179 484244.346579 484244.354979 484244.363379 484244.371779 484244.380179 484244.388579 484244.396979 484244.405379 484244.413779 484244.422179 484244.430579 484244.438979 484244.447379 484244.455779 484244.464179 484244.472579 484244.489379 484244.497779 484244.506179 484244.514579 484244.522979 484244.531379 484244.539779 484244.548179 484244.556579
6,484248.5718,302.4,443,452,0.417312883,0.691506107,2.553622512,0.86896651,gaze,,,,484248.571779 484248.588579 484248.596979 484248.605379 484248.613779 484248.622179 484248.630579 484248.638979 484248.647379 484248.655779 484248.664179 484248.672579 484248.680979 484248.689379 484248.697779 484248.706179 484248.714579 484248.722979 484248.731379 484248.739779 484248.748179 484248.756579 484248.764979 484248.773379 484248.781779 484248.790179 484248.798579 484248.806979 484248.815379 484248.823779 484248.832179 484248.840579 484248.848979 484248.857379 484248.865779 484248.874179
7,484249.5798,302.4,471,479,0.499690126,0.710978318,2.964716583,0.874785064,gaze,,,,484249.579779 484249.588179 484249.596579 484249.604979 484249.613379 484249.621779 484249.630179 484249.638579 484249.646979 484249.655379 484249.663779 484249.672179 484249.680579 484249.688979 484249.697379 484249.705779 484249.714179 484249.722579 484249.730979 484249.739379 484249.747779 484249.756179 484249.764579 484249.772979 484249.781379 484249.789779 484249.798179 484249.806579 484249.814979 484249.823379 484249.831779 484249.840179 484249.848579 484249.856979 484249.865379 484249.873779 484249.882179
8,484251.3522,403.2,519,530,0.455501393,0.742328386,2.555535485,0.942048806,gaze,,,,484251.352179 484251.368979 484251.377379 484251.385779 484251.394179 484251.402579 484251.410979 484251.419379 484251.427779 484251.436179 484251.444579 484251.452979 484251.461379 484251.469779 484251.478179 484251.486579 484251.494979 484251.503379 484251.511779 484251.520179 484251.528579 484251.536979 484251.545379 484251.553779 484251.562179 484251.570579 484251.578979 484251.587379 484251.595779 484251.604179 484251.612579 484251.620979 484251.629379 484251.637779 484251.646179 484251.654579 484251.662979 484251.671379 484251.679779 484251.688179 484251.696579 484251.704979 484251.713379 484251.721779 484251.730179 484251.738579 484251.746979 484251.755379
9,484256.5602,949.2,658,684,0.539344723,0.623521398,2.537503162,0.706719178,gaze,,,,484256.560179 484256.576979 484256.585379 484256.593779 484256.602179 484256.610579 484256.618979 484256.627379 484256.635779 484256.644179 484256.652579 484256.660979 484256.669379 484256.677779 484256.686179 484256.694579 484256.702979 484256.711379 484256.719779 484256.728179 484256.736579 484256.744979 484256.753379 484256.761779 484256.770179 484256.778579 484256.786979 484256.795379 484256.803779 484256.812179 484256.820579 484256.828979 484256.837379 484256.845779 484256.854179 484256.862579 484256.870979 484256.879379 484256.887779 484256.896179 484256.904579 484256.912979 484256.921379 484256.929779 484256.938179 484256.946579 484256.954979 484256.963379 484256.971779 484256.980179 484256.988579 484256.996979 484257.005379 484257.013779 484257.022179 484257.030579 484257.038979 484257.047379 484257.055779 484257.064179 484257.072579 484257.080979 484257.089379 484257.097779 484257.106179 484257.122979 484257.131379 484257.139779 484257.148179 484257.156579 484257.164979 484257.173379 484257.181779 484257.190179 484257.198579 484257.206979 484257.215379 484257.223779 484257.232179 484257.240579 484257.248979 484257.257379 484257.265779 484257.274179 484257.282579 484257.290979 484257.299379 484257.307779 484257.316179 484257.324579 484257.332979 484257.341379 484257.349779 484257.358179 484257.366579 484257.374979 484257.383379 484257.391779 484257.400179 484257.408579 484257.416979 484257.425379 484257.433779 484257.442179 484257.450579 484257.458979 484257.467379 484257.475779 484257.484179 484257.492579 484257.500979 484257.509379
