id,start_timestamp,duration,start_frame_index,end_frame_index,norm_pos_x,norm_pos_y,dispersion,confidence,method,gaze_point_3d_x,gaze_point_3d_y,gaze_point_3d_z,base_data
0,251396.9843,142.8,56,60,0.647246184,0.728017067,1.785771355,0.928226235,gaze,,,,251396.984296 251397.001096 251397.009496 251397.017896 251397.026296 251397.034696 251397.043096 251397.051496 251397.059896 251397.068296 251397.076696 251397.085096 251397.093496 251397.101896 251397.110296 251397.118696 251397.127096
1,251399.0003,100.8,111,114,0.543574555,0.804213979,0.365040688,0.997434644,gaze,,,,251399.000296 251399.008696 251399.017096 251399.025496 251399.033896 251399.042296 251399.050696 251399.059096 251399.067496 251399.075896 251399.084296 251399.092696 251399.101096
2,251400.0083,142.8,139,143,0.418067214,0.768871562,1.355781364,0.929896911,gaze,,,,251400.008296 251400.016696 251400.025096 251400.033496 251400.041896 251400.050296 251400.058696 251400.067096 251400.075496 251400.083896 251400.092296 251400.100696 251400.109096 251400.117496 251400.125896 251400.134296 251400.142696 251400.151096
3,251401.0667,151.2,168,171,0.617339871,0.587903001,2.697659161,0.890951322,gaze,,,,251401.066696 251401.075096 251401.100296 251401.108696 251401.117096 251401.133896 251401.142296 251401.159096 251401.167496 251401.175896 251401.184296 251401.192696 251401.201096 251401.209496 251401.217896
4,251402.1419,100.8,197,200,0.70692279,0.551046631,2.927992858,0.909853224,gaze,,,,251402.141896 251402.150296 251402.158696 251402.167096 251402.175496 251402.183896 251402.192296 251402.200696 251402.209096 251402.217496 251402.225896 251402.234296 251402.242696
5,251403.5447,100.8,236,238,0.551994448,0.760514579,2.935166694,0.997329593,gaze,,,,251403.544696 251403.553096 251403.561496 251403.569896 251403.578296 251403.586696 251403.595096 251403.603496 251403.611896 251403.620296 251403.628696 251403.637096 251403.645496
6,251404.5527,193.2,262,267,0.395707232,0.378474129,2.857441753,0.884424994,gaze,,,,251404.552696 251404.561096 251404.569496 251404.577896 251404.586296 251404.594696 251404.603096 251404.611496 251404.619896 251404.628296 251404.636696 251404.645096 251404.653496 251404.661896 251404.670296 251404.678696 251404.687096 251404.695496 251404.703896 251404.712296 251404.720696 251404.729096 251404.737496 251404.745896
7,251409.2735,226.8,390,396,0.423720823,0.610376082,1.531571015,0.963063296,gaze,,,,251409.273496 251409.281896 251409.290296 251409.298696 251409.307096 251409.315496 251409.323896 251409.332296 251409.340696 251409.349096 251409.357496 251409.365896 251409.374296 251409.382696 251409.391096 251409.399496 251409.407896 251409.416296 251409.424696 251409.433096 251409.441496 251409.449896 251409.458296 251409.466696 251409.475096 251409.483496 251409.491896 251409.500296
8,251410.4579,243.6,421,427,0.386142208,0.334391615,2.869447436,0.940913639,gaze,,,,251410.457896 251410.466296 251410.474696 251410.483096 251410.491496 251410.499896 251410.508296 251410.516696 251410.525096 251410.533496 251410.541896 251410.550296 251410.558696 251410.567096 251410.575496 251410.583896 251410.592296 251410.600696 251410.609096 251410.617496 251410.625896 251410.634296 251410.642696 251410.651096 251410.659496 251410.667896 251410.676296 251410.684696 251410.693096 251410.701496
9,251411.4659,159.6,447,452,0.404117824,0.571377765,2.31770909,0.992273825,gaze,,,,251411.465896 251411.474296 251411.482696 251411.491096 251411.499496 251411.507896 251411.516296 251411.524696 251411.533096 251411.541496 251411.549896 251411.558296 251411.566696 251411.575096 251411.583496 251411.591896 251411.600296 251411.608696 251411.617096 251411.625496
10,251412.5327,151.2,477,480,0.429151427,0.527964498,2.057208408,0.681078611,gaze,,,,251412.532696 251412.541096 251412.549496 251412.557896 251412.566296 251412.574696 251412.583096 251412.591496 251412.599896 251412.608296 251412.616696 251412.625096 251412.633496 251412.641896 251412.650296 251412.658696 251412.667096 251412.675496 251412.683896
