id,start_timestamp,duration,start_frame_index,end_frame_index,norm_pos_x,norm_pos_y,dispersion,confidence,method,gaze_point_3d_x,gaze_point_3d_y,gaze_point_3d_z,base_data
0,503166.9899,361.2,54,62,0.337688981,0.40002553,2.393938984,0.946134361,gaze,,,,503166.989866 503166.998266 503167.006666 503167.015066 503167.023466 503167.031866 503167.040266 503167.048666 503167.057066 503167.065466 503167.073866 503167.082266 503167.090666 503167.099066 503167.107466 503167.115866 503167.124266 503167.132666 503167.141066 503167.149466 503167.157866 503167.166266 503167.174666 503167.183066 503167.191466 503167.199866 503167.208266 503167.216666 503167.225066 503167.233466 503167.241866 503167.250266 503167.258666 503167.267066 503167.275466 503167.283866 503167.292266 503167.300666 503167.309066 503167.317466 503167.325866 503167.334266 503167.342666 503167.351066
1,503167.9979,394.8,76,84,0.377025747,0.628108737,1.549338536,0.99045416,gaze,,,,503167.997866 503168.006266 503168.014666 503168.023066 503168.031466 503168.039866 503168.048266 503168.056666 503168.065066 503168.073466 503168.081866 503168.090266 503168.098666 503168.107066 503168.115466 503168.123866 503168.132266 503168.140666 503168.149066 503168.157466 503168.165866 503168.174266 503168.182666 503168.191066 503168.199466 503168.207866 503168.216266 503168.224666 503168.233066 503168.241466 503168.249866 503168.258266 503168.266666 503168.275066 503168.283466 503168.291866 503168.300266 503168.308666 503168.317066 503168.325466 503168.333866 503168.342266 503168.350666 503168.359066 503168.367466 503168.375866 503168.384266 503168.392666
2,503169.8627,495.6,115,126,0.678335902,0.349374913,2.499720015,0.699101723,gaze,,,,503169.862666 503169.871066 503169.879466 503169.887866 503169.896266 503169.904666 503169.913066 503169.921466 503169.929866 503169.938266 503169.946666 503169.955066 503169.963466 503169.971866 503169.980266 503169.988666 503169.997066 503170.005466 503170.022266 503170.030666 503170.039066 503170.055866 503170.064266 503170.072666 503170.089466 503170.097866 503170.106266 503170.114666 503170.123066 503170.131466 503170.139866 503170.148266 503170.156666 503170.165066 503170.173466 503170.181866 503170.190266 503170.198666 503170.207066 503170.215466 503170.223866 503170.232266 503170.240666 503170.249066 503170.257466 503170.265866 503170.274266 503170.282666 503170.291066 503170.299466 503170.307866 503170.316266 503170.324666 503170.333066 503170.341466 503170.349866 503170.358266
3,503171.9123,369.6,166,175,0.511954787,0.710760222,2.913127963,0.964385112,gaze,,,,503171.912266 503171.920666 503171.929066 503171.945866 503171.954266 503171.962666 503171.971066 503171.979466 503171.987866 503171.996266 503172.004666 503172.013066 503172.021466 503172.029866 503172.038266 503172.046666 503172.055066 503172.063466 503172.071866 503172.080266 503172.088666 503172.097066 503172.105466 503172.113866 503172.122266 503172.130666 503172.139066 503172.147466 503172.155866 503172.164266 503172.172666 503172.181066 503172.189466 503172.197866 503172.206266 503172.214666 503172.223066 503172.231466 503172.239866 503172.248266 503172.256666 503172.265066 503172.273466 503172.281866
4,503174.7515,302.4,242,250,0.421941339,0.389683598,2.897903343,0.884697455,gaze,,,,503174.751466 503174.759866 503174.768266 503174.776666 503174.793466 503174.801866 503174.810266 503174.818666 503174.827066 503174.835466 503174.843866 503174.852266 503174.860666 503174.869066 503174.877466 503174.885866 503174.894266 503174.902666 503174.911066 503174.919466 503174.927866 503174.936266 503174.944666 503174.953066 503174.961466 503174.969866 503174.978266 503174.986666 503174.995066 503175.003466 503175.011866 503175.020266 503175.028666 503175.037066 503175.045466 503175.053866
5,503177.1959,302.4,305,313,0.717905738,0.582794581,2.970985318,0.681921775,gaze,,,,503177.195866 503177.204266 503177.212666 503177.221066 503177.229466 503177.237866 503177.246266 503177.254666 503177.263066 503177.271466 503177.279866 503177.288266 503177.296666 503177.305066 503177.313466 503177.321866 503177.330266 503177.338666 503177.347066 503177.355466 503177.363866 503177.372266 503177.389066 503177.397466 503177.405866 503177.414266 503177.422666 503177.431066 503177.439466 503177.447866 503177.456266 503177.464666 503177.473066 503177.481466 503177.489866 503177.498266
6,503179.5815,327.6,368,376,0.281743743,0.322794296,2.937970588,0.976457801,gaze,,,,503179.581466 503179.589866 503179.598266 503179.606666 503179.615066 503179.623466 503179.631866 503179.640266 503179.648666 503179.657066 503179.665466 503179.673866 503179.682266 503179.690666 503179.699066 503179.707466 503179.715866 503179.724266 503179.732666 503179.741066 503179.749466 503179.757866 503179.766266 503179.774666 503179.783066 503179.791466 503179.799866 503179.808266 503179.816666 503179.825066 503179.833466 503179.841866 503179.850266 503179.858666 503179.867066 503179.875466 503179.883866 503179.892266 503179.900666 503179.909066
7,503181.8999,302.4,426,434,0.545201684,0.309837265,2.951944788,0.798186128,gaze,,,,503181.899866 503181.908266 503181.916666 503181.925066 503181.933466 503181.941866 503181.950266 503181.958666 503181.967066 503181.975466 503181.983866 503181.992266 503182.000666 503182.009066 503182.017466 503182.025866 503182.034266 503182.042666 503182.051066 503182.059466 503182.067866 503182.076266 503182.084666 503182.093066 503182.101466 503182.109866 503182.118266 503182.126666 503182.135066 503182.143466 503182.151866 503182.160266 503182.168666 503182.177066 503182.185466 503182.193866 503182.202266
8,503183.4287,302.4,466,474,0.598409968,0.249548865,1.708116095,0.636992165,gaze,,,,503183.428666 503183.437066 503183.445466 503183.453866 503183.462266 503183.470666 503183.479066 503183.487466 503183.495866 503183.504266 503183.512666 503183.521066 503183.529466 503183.537866 503183.546266 503183.554666 503183.563066 503183.571466 503183.579866 503183.588266 503183.596666 503183.605066 503183.613466 503183.621866 503183.630266 503183.638666 503183.647066 503183.655466 503183.663866 503183.672266 503183.680666 503183.689066 503183.697466 503183.705866 503183.714266 503183.722666 503183.731066
9,503184.7055,378,498,508,0.557804213,0.219591648,2.555757836,0.712659444,gaze,,,,503184.705466 503184.713866 503184.722266 503184.730666 503184.739066 503184.747466 503184.755866 503184.764266 503184.772666 503184.781066 503184.797866 503184.806266 503184.814666 503184.823066 503184.831466 503184.839866 503184.848266 503184.856666 503184.865066 503184.873466 503184.881866 503184.890266 503184.898666 503184.907066 503184.915466 503184.923866 503184.932266 503184.940666 503184.949066 503184.957466 503184.965866 503184.974266 503184.982666 503184.991066 503184.999466 503185.007866 503185.016266 503185.024666 503185.033066 503185.041466 503185.049866 503185.058266 503185.066666 503185.075066 503185.083466
10,503188.2839,327.6,592,600,0.273427128,0.412112247,1.786486304,0.96819739,gaze,,,,503188.283866 503188.292266 503188.300666 503188.309066 503188.317466 503188.325866 503188.334266 503188.351066 503188.359466 503188.367866 503188.376266 503188.384666 503188.393066 503188.401466 503188.409866 503188.418266 503188.426666 503188.435066 503188.443466 503188.451866 503188.460266 503188.468666 503188.477066 503188.485466 503188.493866 503188.502266 503188.510666 503188.519066 503188.527466 503188.535866 503188.544266 503188.552666 503188.561066 503188.569466 503188.577866 503188.586266 503188.594666 503188.603066 503188.611466
11,503193.2903,411.6,729,741,0.647670073,0.561571762,2.84768851,0.692496064,gaze,,,,503193.290266 503193.307066 503193.315466 503193.323866 503193.332266 503193.340666 503193.349066 503193.357466 503193.365866 503193.374266 503193.382666 503193.391066 503193.399466 503193.407866 503193.416266 503193.424666 503193.433066 503193.441466 503193.449866 503193.458266 503193.466666 503193.475066 503193.483466 503193.491866 503193.500266 503193.508666 503193.517066 503193.525466 503193.533866 503193.550666 503193.559066 503193.567466 503193.575866 503193.584266 503193.592666 503193.601066 503193.609466 503193.617866 503193.626266 503193.634666 503193.643066 503193.651466 503193.659866 503193.668266 503193.676666 503193.685066 503193.693466 503193.701866
12,503195.2139,722.4,786,808,0.520084002,0.194859651,2.728060594,0.812603517,gaze,,,,503195.213866 503195.222266 503195.230666 503195.239066 503195.247466 503195.255866 503195.264266 503195.272666 503195.281066 503195.289466 503195.297866 503195.306266 503195.314666 503195.323066 503195.331466 503195.339866 503195.348266 503195.356666 503195.365066 503195.373466 503195.381866 503195.390266 503195.398666 503195.407066 503195.415466 503195.423866 503195.432266 503195.440666 503195.449066 503195.457466 503195.465866 503195.474266 503195.482666 503195.491066 503195.499466 503195.507866 503195.516266 503195.524666 503195.533066 503195.541466 503195.549866 503195.558266 503195.566666 503195.575066 503195.583466 503195.591866 503195.600266 503195.608666 503195.617066 503195.625466 503195.633866 503195.642266 503195.650666 503195.659066 503195.667466 503195.675866 503195.684266 503195.692666 503195.701066 503195.709466 503195.717866 503195.726266 503195.734666 503195.743066 503195.751466 503195.759866 503195.768266 503195.776666 503195.785066 503195.793466 503195.801866 503195.810266 503195.827066 503195.835466 503195.843866 503195.852266 503195.860666 503195.869066 503195.877466 503195.885866 503195.894266 503195.902666 503195.911066 503195.919466 503195.927866 503195.936266
13,503196.7175,386.4,831,843,0.468405338,0.292619703,2.875320425,0.67184551,gaze,,,,503196.717466 503196.725866 503196.734266 503196.742666 503196.751066 503196.759466 503196.767866 503196.776266 503196.784666 503196.793066 503196.801466 503196.809866 503196.818266 503196.826666 503196.835066 503196.843466 503196.851866 503196.860266 503196.868666 503196.877066 503196.885466 503196.893866 503196.902266 503196.910666 503196.919066 503196.927466 503196.935866 503196.944266 503196.952666 503196.961066 503196.969466 503196.977866 503196.986266 503196.994666 503197.003066 503197.011466 503197.019866 503197.028266 503197.036666 503197.045066 503197.053466 503197.061866 503197.070266 503197.078666 503197.087066 503197.095466 503197.103866
14,503201.7743,319.2,982,992,0.302374304,0.273919693,2.944048722,0.860365106,gaze,,,,503201.774266 503201.782666 503201.791066 503201.799466 503201.807866 503201.816266 503201.824666 503201.833066 503201.841466 503201.849866 503201.858266 503201.866666 503201.875066 503201.883466 503201.891866 503201.900266 503201.908666 503201.917066 503201.925466 503201.933866 503201.942266 503201.950666 503201.959066 503201.967466 503201.975866 503201.984266 503201.992666 503202.001066 503202.009466 503202.017866 503202.026266 503202.034666 503202.043066 503202.051466 503202.059866 503202.068266 503202.076666 503202.085066 503202.093466
15,503202.9923,302.4,1019,1028,0.383092766,0.258721133,2.991777138,0.905499289,gaze,,,,503202.992266 503203.000666 503203.009066 503203.017466 503203.025866 503203.034266 503203.042666 503203.051066 503203.059466 503203.067866 503203.076266 503203.084666 503203.093066 503203.101466 503203.109866 503203.118266 503203.126666 503203.135066 503203.143466 503203.151866 503203.160266 503203.168666 503203.177066 503203.185466 503203.193866 503203.202266 503203.210666 503203.219066 503203.227466 503203.235866 503203.244266 503203.252666 503203.261066 503203.269466 503203.277866 503203.286266 503203.294666
16,503204.0927,428.4,1050,1063,0.392687504,0.192185088,2.76085062,0.78702932,gaze,,,,503204.092666 503204.101066 503204.109466 503204.117866 503204.126266 503204.134666 503204.143066 503204.151466 503204.159866 503204.168266 503204.176666 503204.185066 503204.193466 503204.201866 503204.210266 503204.218666 503204.227066 503204.235466 503204.243866 503204.252266 503204.260666 503204.269066 503204.277466 503204.285866 503204.294266 503204.302666 503204.311066 503204.319466 503204.327866 503204.336266 503204.344666 503204.353066 503204.361466 503204.369866 503204.378266 503204.386666 503204.395066 503204.403466 503204.411866 503204.420266 503204.428666 503204.437066 503204.445466 503204.453866 503204.462266 503204.470666 503204.479066 503204.487466 503204.495866 503204.504266 503204.512666 503204.521066
17,503205.1007,924,1080,1108,0.392131841,0.301406429,2.590534586,0.76400098,gaze,,,,503205.100666 503205.109066 503205.117466 503205.125866 503205.134266 503205.142666 503205.151066 503205.159466 503205.167866 503205.176266 503205.184666 503205.193066 503205.201466 503205.209866 503205.218266 503205.226666 503205.235066 503205.243466 503205.251866 503205.260266 503205.268666 503205.277066 503205.285466 503205.293866 503205.302266 503205.310666 503205.319066 503205.327466 503205.335866 503205.344266 503205.352666 503205.361066 503205.369466 503205.377866 503205.386266 503205.394666 503205.403066 503205.411466 503205.419866 503205.428266 503205.436666 503205.445066 503205.453466 503205.461866 503205.470266 503205.478666 503205.487066 503205.495466 503205.503866 503205.512266 503205.520666 503205.529066 503205.537466 503205.545866 503205.554266 503205.562666 503205.571066 503205.579466 503205.587866 503205.596266 503205.604666 503205.613066 503205.621466 503205.629866 503205.638266 503205.646666 503205.655066 503205.663466 503205.671866 503205.680266 503205.688666 503205.697066 503205.705466 503205.713866 503205.722266 503205.730666 503205.739066 503205.747466 503205.755866 503205.764266 503205.772666 503205.781066 503205.789466 503205.797866 503205.806266 503205.814666 503205.823066 503205.831466 503205.839866 503205.848266 503205.856666 503205.865066 503205.873466 503205.881866 503205.890266 503205.898666 503205.907066 503205.915466 503205.923866 503205.932266 503205.940666 503205.949066 503205.957466 503205.965866 503205.974266 503205.982666 503205.991066 503205.999466 503206.007866 503206.016266 503206.024666
18,503215.4243,386.4,1388,1400,0.592753389,0.560413716,2.874527124,0.777927183,gaze,,,,503215.424266 503215.432666 503215.441066 503215.449466 503215.457866 503215.466266 503215.474666 503215.483066 503215.491466 503215.499866 503215.508266 503215.516666 503215.525066 503215.533466 503215.541866 503215.550266 503215.558666 503215.567066 503215.575466 503215.583866 503215.592266 503215.600666 503215.609066 503215.617466 503215.625866 503215.634266 503215.642666 503215.651066 503215.659466 503215.667866 503215.676266 503215.684666 503215.693066 503215.701466 503215.709866 503215.718266 503215.726666 503215.735066 503215.743466 503215.751866 503215.760266 503215.768666 503215.777066 503215.785466 503215.793866 503215.802266 503215.810666
19,503218.7843,344.4,1487,1497,0.439433606,0.525788717,1.659210901,0.903495784,gaze,,,,503218.784266 503218.792666 503218.801066 503218.809466 503218.817866 503218.826266 503218.834666 503218.843066 503218.851466 503218.859866 503218.868266 503218.876666 503218.885066 503218.893466 503218.901866 503218.910266 503218.918666 503218.927066 503218.935466 503218.943866 503218.952266 503218.960666 503218.969066 503218.977466 503218.985866 503218.994266 503219.002666 503219.011066 503219.019466 503219.027866 503219.036266 503219.044666 503219.053066 503219.061466 503219.069866 503219.078266 503219.086666 503219.095066 503219.103466 503219.111866 503219.120266 503219.128666
20,503222.4299,302.4,1594,1603,0.653749594,0.556666619,1.955440958,0.682975251,gaze,,,,503222.429866 503222.438266 503222.446666 503222.455066 503222.463466 503222.471866 503222.480266 503222.488666 503222.497066 503222.505466 503222.513866 503222.522266 503222.530666 503222.539066 503222.547466 503222.555866 503222.564266 503222.572666 503222.581066 503222.589466 503222.597866 503222.606266 503222.614666 503222.623066 503222.631466 503222.639866 503222.648266 503222.656666 503222.665066 503222.673466 503222.681866 503222.690266 503222.698666 503222.707066 503222.715466 503222.723866 503222.732266
21,503225.0003,504,1670,1685,0.566869726,0.148547528,2.413184383,0.759123335,gaze,,,,503225.000266 503225.008666 503225.017066 503225.025466 503225.033866 503225.042266 503225.050666 503225.059066 503225.067466 503225.075866 503225.084266 503225.092666 503225.101066 503225.109466 503225.117866 503225.126266 503225.134666 503225.143066 503225.151466 503225.159866 503225.168266 503225.176666 503225.185066 503225.193466 503225.201866 503225.210266 503225.218666 503225.227066 503225.235466 503225.243866 503225.252266 503225.260666 503225.269066 503225.277466 503225.285866 503225.294266 503225.302666 503225.311066 503225.319466 503225.327866 503225.336266 503225.344666 503225.353066 503225.361466 503225.369866 503225.378266 503225.386666 503225.395066 503225.403466 503225.411866 503225.420266 503225.428666 503225.437066 503225.445466 503225.453866 503225.462266 503225.470666 503225.479066 503225.487466 503225.495866 503225.504266
22,503226.3779,310.8,1711,1721,0.727468063,0.57911537,2.908370573,0.728864603,gaze,,,,503226.377866 503226.386266 503226.394666 503226.403066 503226.411466 503226.419866 503226.428266 503226.436666 503226.445066 503226.453466 503226.461866 503226.470266 503226.478666 503226.487066 503226.495466 503226.503866 503226.512266 503226.520666 503226.529066 503226.537466 503226.545866 503226.554266 503226.562666 503226.571066 503226.579466 503226.587866 503226.596266 503226.604666 503226.613066 503226.621466 503226.629866 503226.638266 503226.646666 503226.655066 503226.663466 503226.671866 503226.680266 503226.688666
23,503229.1163,327.6,1793,1803,0.635309926,0.594048698,2.507947031,0.702430486,gaze,,,,503229.116266 503229.124666 503229.133066 503229.141466 503229.149866 503229.158266 503229.166666 503229.175066 503229.183466 503229.191866 503229.200266 503229.208666 503229.217066 503229.225466 503229.233866 503229.242266 503229.250666 503229.259066 503229.267466 503229.275866 503229.284266 503229.292666 503229.301066 503229.309466 503229.317866 503229.326266 503229.334666 503229.343066 503229.351466 503229.359866 503229.368266 503229.376666 503229.385066 503229.393466 503229.401866 503229.410266 503229.418666 503229.427066 503229.435466 503229.443866
24,503231.3255,361.2,1859,1870,0.65150955,0.56385305,2.732947961,0.678182085,gaze,,,,503231.325466 503231.333866 503231.342266 503231.350666 503231.359066 503231.367466 503231.375866 503231.384266 503231.392666 503231.401066 503231.409466 503231.417866 503231.426266 503231.434666 503231.443066 503231.451466 503231.459866 503231.468266 503231.476666 503231.485066 503231.493466 503231.501866 503231.510266 503231.518666 503231.527066 503231.535466 503231.543866 503231.552266 503231.560666 503231.569066 503231.577466 503231.585866 503231.594266 503231.602666 503231.611066 503231.619466 503231.627866 503231.636266 503231.644666 503231.653066 503231.661466 503231.669866 503231.678266 503231.686666
25,503233.1063,462,1912,1925,0.388180594,0.664967751,2.974621945,0.994859169,gaze,,,,503233.106266 503233.114666 503233.123066 503233.131466 503233.139866 503233.148266 503233.156666 503233.165066 503233.173466 503233.181866 503233.190266 503233.198666 503233.207066 503233.215466 503233.223866 503233.232266 503233.240666 503233.249066 503233.257466 503233.265866 503233.274266 503233.282666 503233.291066 503233.299466 503233.307866 503233.316266 503233.324666 503233.333066 503233.341466 503233.349866 503233.358266 503233.366666 503233.375066 503233.383466 503233.391866 503233.400266 503233.408666 503233.417066 503233.425466 503233.433866 503233.442266 503233.450666 503233.459066 503233.467466 503233.475866 503233.484266 503233.492666 503233.501066 503233.509466 503233.517866 503233.526266 503233.534666 503233.543066 503233.551466 503233.559866 503233.568266
26,503235.6683,302.4,1986,1994,0.59074349,0.02033015,2.996712696,0.708648521,gaze,,,,503235.668266 503235.676666 503235.685066 503235.693466 503235.701866 503235.710266 503235.718666 503235.727066 503235.735466 503235.743866 503235.752266 503235.760666 503235.769066 503235.777466 503235.785866 503235.794266 503235.802666 503235.811066 503235.819466 503235.827866 503235.836266 503235.844666 503235.853066 503235.861466 503235.869866 503235.878266 503235.886666 503235.895066 503235.903466 503235.911866 503235.920266 503235.928666 503235.937066 503235.945466 503235.953866 503235.962266 503235.970666
27,503237.5835,453.6,2043,2056,0.615705144,0.214998838,2.926847399,0.643907447,gaze,,,,503237.583466 503237.591866 503237.600266 503237.608666 503237.617066 503237.625466 503237.633866 503237.642266 503237.650666 503237.659066 503237.667466 503237.675866 503237.684266 503237.692666 503237.701066 503237.709466 503237.717866 503237.726266 503237.734666 503237.743066 503237.751466 503237.759866 503237.768266 503237.776666 503237.785066 503237.793466 503237.801866 503237.810266 503237.818666 503237.827066 503237.835466 503237.843866 503237.852266 503237.860666 503237.869066 503237.877466 503237.885866 503237.894266 503237.902666 503237.911066 503237.919466 503237.927866 503237.936266 503237.944666 503237.953066 503237.961466 503237.969866 503237.978266 503237.986666 503237.995066 503238.003466 503238.011866 503238.020266 503238.028666 503238.037066
28,503243.0099,302.4,2204,2214,0.68429457,0.574727779,2.87775838,0.698957174,gaze,,,,503243.009866 503243.018266 503243.026666 503243.035066 503243.043466 503243.051866 503243.060266 503243.068666 503243.077066 503243.085466 503243.093866 503243.102266 503243.110666 503243.119066 503243.127466 503243.135866 503243.144266 503243.152666 503243.161066 503243.169466 503243.177866 503243.186266 503243.194666 503243.203066 503243.211466 503243.219866 503243.228266 503243.236666 503243.245066 503243.253466 503243.261866 503243.270266 503243.278666 503243.287066 503243.295466 503243.303866 503243.312266
29,503245.7735,537.6,2287,2303,0.474442037,0.459216245,2.755891878,0.803267677,gaze,,,,503245.773466 503245.781866 503245.790266 503245.798666 503245.807066 503245.815466 503245.823866 503245.832266 503245.840666 503245.849066 503245.857466 503245.865866 503245.874266 503245.882666 503245.891066 503245.899466 503245.907866 503245.916266 503245.924666 503245.933066 503245.941466 503245.949866 503245.958266 503245.966666 503245.975066 503245.983466 503245.991866 503246.000266 503246.008666 503246.017066 503246.025466 503246.033866 503246.042266 503246.050666 503246.059066 503246.067466 503246.075866 503246.084266 503246.092666 503246.101066 503246.109466 503246.117866 503246.126266 503246.134666 503246.143066 503246.151466 503246.159866 503246.168266 503246.176666 503246.185066 503246.193466 503246.201866 503246.210266 503246.218666 503246.227066 503246.235466 503246.243866 503246.252266 503246.260666 503246.269066 503246.277466 503246.285866 503246.294266 503246.302666 503246.311066
30,503247.3107,495.6,2333,2348,0.470597603,0.457402845,2.233590721,0.528722144,gaze,,,,503247.310666 503247.319066 503247.327466 503247.335866 503247.344266 503247.352666 503247.361066 503247.369466 503247.377866 503247.386266 503247.394666 503247.403066 503247.411466 503247.419866 503247.428266 503247.436666 503247.445066 503247.453466 503247.461866 503247.470266 503247.478666 503247.487066 503247.495466 503247.503866 503247.512266 503247.520666 503247.529066 503247.537466 503247.545866 503247.554266 503247.562666 503247.571066 503247.579466 503247.587866 503247.596266 503247.604666 503247.613066 503247.621466 503247.629866 503247.638266 503247.646666 503247.655066 503247.663466 503247.671866 503247.680266 503247.688666 503247.697066 503247.705466 503247.713866 503247.722266 503247.730666 503247.739066 503247.747466 503247.755866 503247.764266 503247.772666 503247.781066 503247.789466 503247.797866 503247.806266
31,503247.8399,882,2349,2375,0.486565242,0.465059864,2.755312294,0.528000759,gaze,,,,503247.839866 503247.831466 503247.823066 503247.814666 503248.318666 503248.327066 503248.335466 503248.343866 503248.352266 503248.360666 503248.369066 503248.377466 503248.385866 503248.394266 503248.402666 503248.411066 503248.419466 503248.427866 503248.436266 503248.444666 503248.453066 503248.461466 503248.469866 503248.478266 503248.486666 503248.495066 503248.503466 503248.511866 503248.520266 503248.528666 503248.537066 503248.545466 503248.553866 503248.562266 503248.570666 503248.579066 503248.587466 503248.595866 503248.604266 503248.612666 503248.621066 503248.629466 503248.637866 503248.646266 503248.654666 503248.663066 503248.671466 503248.679866 503248.688266 503248.696666 503248.705066 503248.713466 503248.721866
