id,start_timestamp,duration,start_frame_index,end_frame_index,norm_pos_x,norm_pos_y,dispersion,confidence,method,gaze_point_3d_x,gaze_point_3d_y,gaze_point_3d_z,base_data
0,72268.94858,378,2,12,0.645529015,0.759273468,2.92580947,0.977994136,gaze,,,,72268.948576 72268.956976 72268.965376 72268.973776 72268.982176 72268.990576 72268.998976 72269.007376 72269.015776 72269.024176 72269.032576 72269.040976 72269.049376 72269.057776 72269.066176 72269.074576 72269.082976 72269.091376 72269.099776 72269.108176 72269.116576 72269.124976 72269.133376 72269.150176 72269.158576 72269.175376 72269.183776 72269.192176 72269.200576 72269.208976 72269.217376 72269.225776 72269.234176 72269.242576 72269.250976 72269.259376 72269.267776 72269.276176 72269.284576 72269.292976 72269.301376 72269.309776 72269.318176 72269.326576
1,72270.45218,344.4,41,50,0.585770887,0.542427644,2.857900227,0.952031213,gaze,,,,72270.452176 72270.468976 72270.485776 72270.494176 72270.502576 72270.510976 72270.519376 72270.536176 72270.544576 72270.561376 72270.569776 72270.578176 72270.594976 72270.603376 72270.620176 72270.628576 72270.636976 72270.645376 72270.653776 72270.662176 72270.678976 72270.687376 72270.695776 72270.712576 72270.720976 72270.737776 72270.746176 72270.754576 72270.771376 72270.779776 72270.788176 72270.796576
2,72271.56098,781.2,72,92,0.685507319,0.569631172,2.74953062,0.915827606,gaze,,,,72271.560976 72271.577776 72271.586176 72271.594576 72271.602976 72271.611376 72271.619776 72271.636576 72271.644976 72271.653376 72271.661776 72271.670176 72271.678576 72271.686976 72271.703776 72271.712176 72271.720576 72271.728976 72271.737376 72271.745776 72271.754176 72271.770976 72271.779376 72271.787776 72271.796176 72271.812976 72271.821376 72271.829776 72271.838176 72271.846576 72271.854976 72271.871776 72271.880176 72271.888576 72271.896976 72271.905376 72271.913776 72271.922176 72271.930576 72271.938976 72271.947376 72271.964176 72271.972576 72271.980976 72271.989376 72272.006176 72272.014576 72272.022976 72272.031376 72272.039776 72272.048176 72272.056576 72272.064976 72272.081776 72272.090176 72272.098576 72272.106976 72272.115376 72272.123776 72272.132176 72272.140576 72272.148976 72272.157376 72272.165776 72272.174176 72272.182576 72272.199376 72272.207776 72272.216176 72272.224576 72272.232976 72272.249776 72272.258176 72272.266576 72272.274976 72272.283376 72272.300176 72272.308576 72272.316976 72272.325376 72272.342176
3,72275.80298,319.2,185,194,0.608730386,0.560210882,2.920253665,0.939759243,gaze,,,,72275.802976 72275.811376 72275.819776 72275.828176 72275.836576 72275.844976 72275.861776 72275.870176 72275.878576 72275.886976 72275.895376 72275.903776 72275.912176 72275.920576 72275.928976 72275.937376 72275.945776 72275.954176 72275.962576 72275.970976 72275.979376 72275.987776 72275.996176 72276.004576 72276.012976 72276.021376 72276.029776 72276.038176 72276.046576 72276.054976 72276.063376 72276.071776 72276.080176 72276.088576 72276.096976 72276.105376 72276.113776 72276.122176
4,72278.21378,310.8,249,258,0.587363704,0.57280694,2.960544664,0.933399358,gaze,,,,72278.213776 72278.222176 72278.230576 72278.238976 72278.247376 72278.255776 72278.264176 72278.272576 72278.280976 72278.289376 72278.297776 72278.306176 72278.314576 72278.322976 72278.339776 72278.348176 72278.356576 72278.364976 72278.373376 72278.381776 72278.390176 72278.398576 72278.415376 72278.423776 72278.432176 72278.440576 72278.448976 72278.457376 72278.465776 72278.474176 72278.482576 72278.490976 72278.499376 72278.507776 72278.516176 72278.524576
5,72279.86018,529.2,294,308,0.473123811,0.804001509,2.966866806,0.991011974,gaze,,,,72279.860176 72279.868576 72279.876976 72279.885376 72279.893776 72279.902176 72279.910576 72279.918976 72279.927376 72279.935776 72279.944176 72279.952576 72279.960976 72279.969376 72279.977776 72279.986176 72279.994576 72280.002976 72280.011376 72280.019776 72280.028176 72280.036576 72280.044976 72280.053376 72280.061776 72280.070176 72280.078576 72280.086976 72280.095376 72280.103776 72280.112176 72280.120576 72280.128976 72280.137376 72280.145776 72280.154176 72280.162576 72280.170976 72280.179376 72280.187776 72280.204576 72280.212976 72280.221376 72280.229776 72280.238176 72280.246576 72280.254976 72280.263376 72280.271776 72280.280176 72280.288576 72280.296976 72280.305376 72280.313776 72280.322176 72280.338976 72280.347376 72280.355776 72280.364176 72280.372576 72280.380976 72280.389376
6,72281.67458,302.4,343,351,0.477622192,0.842596518,2.956914841,0.996171413,gaze,,,,72281.674576 72281.682976 72281.691376 72281.699776 72281.708176 72281.716576 72281.724976 72281.733376 72281.741776 72281.750176 72281.758576 72281.766976 72281.775376 72281.783776 72281.792176 72281.800576 72281.808976 72281.817376 72281.825776 72281.834176 72281.842576 72281.850976 72281.859376 72281.867776 72281.884576 72281.892976 72281.901376 72281.909776 72281.918176 72281.926576 72281.934976 72281.943376 72281.951776 72281.960176 72281.968576 72281.976976
7,72284.74058,604.8,424,440,0.581531498,0.768915984,2.507324464,0.967900278,gaze,,,,72284.740576 72284.757376 72284.765776 72284.774176 72284.782576 72284.790976 72284.799376 72284.807776 72284.816176 72284.824576 72284.832976 72284.841376 72284.849776 72284.858176 72284.866576 72284.874976 72284.883376 72284.891776 72284.900176 72284.908576 72284.916976 72284.925376 72284.933776 72284.942176 72284.950576 72284.958976 72284.967376 72284.975776 72284.984176 72284.992576 72285.000976 72285.009376 72285.017776 72285.026176 72285.034576 72285.042976 72285.051376 72285.059776 72285.068176 72285.076576 72285.084976 72285.093376 72285.101776 72285.110176 72285.126976 72285.135376 72285.143776 72285.152176 72285.160576 72285.168976 72285.177376 72285.185776 72285.194176 72285.202576 72285.210976 72285.219376 72285.227776 72285.236176 72285.244576 72285.252976 72285.261376 72285.269776 72285.278176 72285.286576 72285.294976 72285.303376 72285.311776 72285.320176 72285.328576 72285.345376
8,72286.85738,302.4,480,488,0.521148326,0.82075374,2.881945289,0.933371979,gaze,,,,72286.857376 72286.865776 72286.874176 72286.882576 72286.890976 72286.899376 72286.907776 72286.916176 72286.924576 72286.932976 72286.941376 72286.949776 72286.958176 72286.966576 72286.974976 72286.983376 72286.991776 72287.000176 72287.008576 72287.025376 72287.033776 72287.042176 72287.050576 72287.058976 72287.067376 72287.075776 72287.084176 72287.092576 72287.100976 72287.109376 72287.117776 72287.126176 72287.134576 72287.142976 72287.151376 72287.159776
9,72293.02298,445.2,646,657,0.541511783,0.527115212,2.58562459,0.941524396,gaze,,,,72293.022976 72293.031376 72293.048176 72293.056576 72293.064976 72293.073376 72293.081776 72293.090176 72293.098576 72293.106976 72293.115376 72293.123776 72293.132176 72293.140576 72293.148976 72293.157376 72293.165776 72293.174176 72293.182576 72293.190976 72293.199376 72293.207776 72293.216176 72293.224576 72293.232976 72293.241376 72293.249776 72293.258176 72293.266576 72293.274976 72293.283376 72293.291776 72293.300176 72293.308576 72293.316976 72293.325376 72293.333776 72293.342176 72293.350576 72293.358976 72293.375776 72293.384176 72293.392576 72293.400976 72293.409376 72293.417776 72293.426176 72293.434576 72293.442976 72293.451376 72293.459776 72293.468176
10,72298.23938,352.8,779,788,0.512370662,0.3063774,1.43266335,0.819296788,gaze,,,,72298.239376 72298.247776 72298.256176 72298.272976 72298.281376 72298.289776 72298.298176 72298.306576 72298.314976 72298.323376 72298.331776 72298.340176 72298.348576 72298.356976 72298.365376 72298.373776 72298.382176 72298.390576 72298.398976 72298.407376 72298.415776 72298.424176 72298.432576 72298.440976 72298.449376 72298.457776 72298.466176 72298.474576 72298.482976 72298.491376 72298.499776 72298.508176 72298.516576 72298.524976 72298.533376 72298.541776 72298.550176 72298.558576 72298.566976 72298.575376 72298.583776 72298.592176
11,72299.54138,319.2,814,822,0.596846748,0.493339915,2.162682048,0.923584822,gaze,,,,72299.541376 72299.558176 72299.566576 72299.574976 72299.583376 72299.591776 72299.600176 72299.608576 72299.616976 72299.625376 72299.633776 72299.642176 72299.650576 72299.658976 72299.667376 72299.675776 72299.684176 72299.692576 72299.700976 72299.709376 72299.717776 72299.726176 72299.734576 72299.742976 72299.751376 72299.768176 72299.776576 72299.784976 72299.793376 72299.801776 72299.810176 72299.818576 72299.835376 72299.843776 72299.852176 72299.860576
12,72301.65818,378,870,880,0.455307343,0.630655931,2.945032599,0.979839185,gaze,,,,72301.658176 72301.666576 72301.674976 72301.683376 72301.691776 72301.700176 72301.708576 72301.716976 72301.725376 72301.733776 72301.742176 72301.750576 72301.767376 72301.775776 72301.784176 72301.792576 72301.800976 72301.809376 72301.817776 72301.826176 72301.834576 72301.842976 72301.851376 72301.859776 72301.868176 72301.876576 72301.884976 72301.893376 72301.901776 72301.910176 72301.918576 72301.926976 72301.935376 72301.952176 72301.960576 72301.968976 72301.977376 72301.985776 72301.994176 72302.002576 72302.010976 72302.019376 72302.027776 72302.036176
13,72304.13618,302.4,936,944,0.490346469,0.52859933,2.962901253,0.955079689,gaze,,,,72304.136176 72304.144576 72304.152976 72304.161376 72304.169776 72304.178176 72304.186576 72304.194976 72304.203376 72304.211776 72304.220176 72304.228576 72304.236976 72304.245376 72304.253776 72304.262176 72304.270576 72304.278976 72304.287376 72304.295776 72304.304176 72304.312576 72304.320976 72304.329376 72304.337776 72304.346176 72304.354576 72304.362976 72304.371376 72304.379776 72304.388176 72304.396576 72304.404976 72304.413376 72304.421776 72304.430176 72304.438576
14,72307.33658,403.2,1022,1033,0.428279042,0.289482962,2.648244103,0.876074065,gaze,,,,72307.336576 72307.344976 72307.353376 72307.361776 72307.370176 72307.378576 72307.386976 72307.395376 72307.403776 72307.412176 72307.420576 72307.428976 72307.437376 72307.462576 72307.470976 72307.487776 72307.496176 72307.504576 72307.512976 72307.521376 72307.529776 72307.538176 72307.546576 72307.554976 72307.563376 72307.571776 72307.580176 72307.588576 72307.596976 72307.613776 72307.622176 72307.630576 72307.638976 72307.647376 72307.655776 72307.664176 72307.672576 72307.680976 72307.689376 72307.697776 72307.706176 72307.722976 72307.731376 72307.739776
15,72309.47018,378,1080,1089,0.362665921,0.457818251,2.708912665,0.962339219,gaze,,,,72309.470176 72309.478576 72309.486976 72309.495376 72309.503776 72309.512176 72309.520576 72309.528976 72309.537376 72309.545776 72309.554176 72309.562576 72309.570976 72309.579376 72309.629776 72309.646576 72309.688576 72309.696976 72309.705376 72309.722176 72309.738976 72309.747376 72309.764176 72309.772576 72309.780976 72309.789376 72309.806176 72309.814576 72309.822976 72309.831376 72309.839776 72309.848176
16,72312.50258,537.6,1164,1178,0.482118165,0.211175447,2.850869575,0.799545747,gaze,,,,72312.502576 72312.510976 72312.519376 72312.536176 72312.544576 72312.552976 72312.569776 72312.578176 72312.586576 72312.594976 72312.603376 72312.620176 72312.628576 72312.645376 72312.653776 72312.670576 72312.678976 72312.695776 72312.712576 72312.720976 72312.729376 72312.737776 72312.746176 72312.762976 72312.771376 72312.779776 72312.788176 72312.796576 72312.813376 72312.821776 72312.830176 72312.838576 72312.855376 72312.863776 72312.872176 72312.880576 72312.888976 72312.905776 72312.914176 72312.930976 72312.939376 72312.947776 72312.956176 72312.964576 72312.972976 72312.981376 72312.989776 72312.998176 72313.006576 72313.014976 72313.023376 72313.040176
17,72321.33938,352.8,1405,1414,0.506423302,0.291692087,2.302071076,0.866378376,gaze,,,,72321.339376 72321.356176 72321.364576 72321.372976 72321.389776 72321.398176 72321.406576 72321.414976 72321.423376 72321.431776 72321.448576 72321.456976 72321.465376 72321.473776 72321.482176 72321.490576 72321.498976 72321.507376 72321.515776 72321.524176 72321.532576 72321.540976 72321.549376 72321.557776 72321.566176 72321.574576 72321.582976 72321.591376 72321.599776 72321.608176 72321.616576 72321.624976 72321.633376 72321.641776 72321.650176 72321.658576 72321.666976 72321.675376 72321.683776 72321.692176
